iShares Global Tech ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"Nov 12, 2001"
Shares Outstanding,"62,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TDY","TELEDYNE TECHNOLOGIES INC","Information Technology","Equity","10,153,907.34","0.17","10,153,907.34","17,114.00","593.31","United States","NYSE","USD","1.00","USD","-"
"JBL","JABIL INC","Information Technology","Equity","10,049,216.80","0.16","10,049,216.80","38,488.00","261.10","United States","NYSE","USD","1.00","USD","-"
"6723","RENESAS ELECTRONICS CORP","Information Technology","Equity","10,026,969.31","0.16","10,026,969.31","682,000.00","14.70","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","9,640,714.30","0.16","9,640,714.30","77,635.00","124.18","United States","NASDAQ","USD","1.00","USD","-"
"6762","TDK CORP","Information Technology","Equity","9,334,460.33","0.15","9,334,460.33","708,300.00","13.18","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"7751","CANON INC","Information Technology","Equity","9,146,436.04","0.15","9,146,436.04","329,900.00","27.72","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"2382","QUANTA COMPUTER INC","Information Technology","Equity","9,071,891.12","0.15","9,071,891.12","1,001,000.00","9.06","Taiwan","Taiwan Stock Exchange","USD","31.89","TWD","-"
"FICO","FAIR ISAAC CORP","Information Technology","Equity","8,743,646.88","0.14","8,743,646.88","8,648.00","1,011.06","United States","NYSE","USD","1.00","USD","-"
"Q","QNITY ELECTRONICS INC","Information Technology","Equity","8,532,317.20","0.14","8,532,317.20","76,345.00","111.76","United States","NYSE","USD","1.00","USD","-"
"4901","FUJIFILM HOLDINGS CORP","Information Technology","Equity","8,518,122.95","0.14","8,518,122.95","452,900.00","18.81","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","8,379,701.85","0.14","8,379,701.85","143,611.00","58.35","United States","NASDAQ","USD","1.00","USD","-"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","7,819,408.25","0.13","7,819,408.25","4,314,000.00","1.81","Taiwan","Taiwan Stock Exchange","USD","31.89","TWD","-"
"6971","KYOCERA CORP","Information Technology","Equity","7,789,347.15","0.13","7,789,347.15","512,500.00","15.20","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"STMMI","STMICROELECTRONICS NV","Information Technology","Equity","7,737,279.13","0.13","7,737,279.13","235,818.00","32.81","France","Borsa Italiana","USD","0.87","EUR","-"
"VRSN","VERISIGN INC","Information Technology","Equity","7,444,198.40","0.12","7,444,198.40","30,080.00","247.48","United States","NASDAQ","USD","1.00","USD","-"
